unique_id,ds,y,IR_A,IY_A,IB_A,VRY_kV,VYB_kV,VBR_kV,avg_current,current_imbalance_pct,avg_voltage,voltage_imbalance_pct,tod_sin,tod_cos,hour,minute,day_of_week,is_weekend
EP_FD03,2026-06-22 03:09:00,0.2975,21.73,21.28,23.9,11.382,11.322,11.26,22.30333333333333,7.158870124047231,11.321333333333333,0.5417500883288219,0.7343225094356856,0.6788007455329418,3.0,9.0,0.0,0.0
EP_FD03,2026-06-22 03:12:00,0.4413,18.49,17.93,19.72,11.41,11.328,11.378,18.713333333333335,5.379408621303869,11.372,0.3869152303904369,0.7431448254773941,0.6691306063588582,3.0,12.0,0.0,0.0
EP_FD03,2026-06-22 03:15:00,0.4737,18.09,18.18,19.61,11.405,11.293,11.386,18.626666666666665,5.279169649248395,11.361333333333334,0.6014552282596097,0.7518398074789773,0.659345815100069,3.0,15.0,0.0,0.0
EP_FD03,2026-06-22 03:18:00,0.5489,23.65,22.87,23.68,11.436,11.314,11.337,23.399999999999995,2.26495726495724,11.362333333333334,0.6483410097691152,0.7604059656000308,0.6494480483301838,3.0,18.0,0.0,0.0
EP_FD03,2026-06-22 03:21:00,0.3621,19.64,18.87,19.66,11.369,11.318,11.314,19.39,2.6817947395564703,11.333666666666666,0.3117555366018695,0.7688418320734596,0.6394390019805847,3.0,21.0,0.0,0.0
EP_FD03,2026-06-22 03:24:00,0.4034,19.57,18.5,20.08,11.377,11.274,11.397,19.383333333333333,4.557179707652621,11.349333333333334,0.6637687969924941,0.7771459614569708,0.6293203910498375,3.0,24.0,0.0,0.0
EP_FD03,2026-06-22 03:27:00,0.3905,14.08,14.63,15.98,11.369,11.378,11.452,14.896666666666667,7.272320429626319,11.399666666666667,0.4590777508114273,0.785316930880745,0.619093949309834,3.0,27.0,0.0,0.0
EP_FD03,2026-06-22 03:30:00,0.3879,14.42,14.34,15.62,11.376,11.282,11.425,14.793333333333331,5.5881027489860395,11.360999999999999,0.6953613238271178,0.7933533402912352,0.6087614290087207,3.0,30.0,0.0,0.0
EP_FD03,2026-06-22 03:33:00,0.2911,17.56,17.7,18.63,11.363,11.285,11.37,17.963333333333335,3.711263685284826,11.339333333333334,0.4791580927744195,0.8012538126910607,0.5983246005706591,3.0,33.0,0.0,0.0
EP_FD03,2026-06-22 03:36:00,0.3803,17.32,17.46,18.23,11.388,11.293,11.311,17.67,3.169213355970564,11.330666666666666,0.506001412096971,0.8090169943749475,0.5877852522924731,3.0,36.0,0.0,0.0
EP_FD03,2026-06-22 03:39:00,0.3906,17.36,16.67,17.48,11.323,11.319,11.366,17.17,2.9120559114735,11.336,0.26464361326746083,0.8166415551616789,0.5771451900372337,3.0,39.0,0.0,0.0
EP_FD03,2026-06-22 03:42:00,0.9002,41.37,42.42,43.2,11.357,11.293,11.262,42.33,2.2678951098511715,11.304,0.46886058032554007,0.8241261886220157,0.5664062369248328,3.0,42.0,0.0,0.0
EP_FD03,2026-06-22 03:45:00,0.8315,42.31,49.02,50.61,11.392,11.325,11.286,47.31333333333333,10.574890798929118,11.334333333333333,0.5087786371790674,0.8314696123025452,0.5555702330196023,3.0,45.0,0.0,0.0
EP_FD03,2026-06-22 03:48:00,0.8204,45.75,45.13,45.29,11.307,11.372,11.311,45.38999999999999,0.7931262392597633,11.33,0.37069726390114577,0.8386705679454239,0.5446390350150272,3.0,48.0,0.0,0.0
EP_FD03,2026-06-22 03:51:00,0.8887,49.87,49.23,51.65,11.419,11.332,11.369,50.25,2.7860696517412906,11.373333333333335,0.40152403282531324,0.8457278217039733,0.5336145159156115,3.0,51.0,0.0,0.0
EP_FD03,2026-06-22 03:54:00,0.9001,50.69,50.08,51.4,11.369,11.287,11.275,50.72333333333333,1.3340343037392446,11.310333333333332,0.5186997141257315,0.8526401643540922,0.5224985647159489,3.0,54.0,0.0,0.0
EP_FD03,2026-06-22 03:57:00,0.9034,39.62,39.04,40.36,11.373,11.328,11.424,39.67333333333333,1.7308015459586643,11.375,0.4307692307692263,0.8594064115014527,0.511293086077052,3.0,57.0,0.0,0.0
EP_FD03,2026-06-22 04:00:00,0.963,39.59,37.8,38.6,11.335,11.386,11.421,38.663333333333334,2.3967583412363207,11.380666666666665,0.4012653037314498,0.8660254037844386,0.5000000000000001,4.0,0.0,0.0,0.0
EP_FD03,2026-06-22 04:03:00,0.8524,43.42,43.64,45.65,11.393,11.379,11.259,44.23666666666667,3.1949363273302542,11.343666666666666,0.7463783021362759,0.8724960070727971,0.48862124149695496,4.0,3.0,0.0,0.0
EP_FD03,2026-06-22 04:06:00,0.733,46.28,45.44,48.12,11.412,11.286,11.3,46.61333333333334,3.232265446224243,11.332666666666668,0.7000411788928694,0.8788171126619653,0.47715876025960857,4.0,6.0,0.0,0.0
